NAME,DP05_0025E,DP05_0015PE,DP05_0020E,,DP03_0107E,DP03_0107PE,DP03_0062E,DP03_0112PE,DP03_0007PE,DP03_0114PE,DP03_0008PE,DP02_0072PE,DP02_0077PE,DP04_0047E,DP04_0049E,DP04_0135E,DP04_0046PE,DP04_0091E,DP04_0091E,DP04_0092E,DP04_0082PE,DP03_0088E,DP04_0089E,DP04_0134E,DP02_0070PE
,Total Population of 18+,Total population 65-74,Total population 16+,,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage,"Percent Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999",Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Owner-occupied units!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
"Houston-The Woodlands-Sugar Land, TX Metro Area",5140529,7.1,5338778,,167282,5.3,65394,14.3,33.5,919564,3546993,1855778,33.3,936531,2.68,34089,60.3,856980,856980,565755,10.7,32996,,1094,6939766
"Huntington-Ashland, WV-KY-OH Metro Area",278976,11.4,287303,,19166,15.2,45535,47.5,48.9,70738,146529,73569,38.5,37022,2.3,4731,72.9,49912,49912,49835,25.5,25801,204700,732,347970
"Huntsville, AL Metro Area",360204,8.9,373428,,12337,6.1,63765,23.6,38,62963,230430,102386,34.9,60054,2.14,6262,67.5,82222,82222,42780,13,34224,124100,834,454395
"Huntsville, TX Micro Area",72512,9.5,73802,,972,3.6,40500,25,60.2,15864,29319,12294,35.6,11666,2.25,-999999999,57.9,7313,7313,8756,22.9,19169,187000,912,69434
"Hutchinson, KS Micro Area",48456,10.4,50131,,1467,5.6,48837,3.7,37.6,5890,31159,13873,38.2,7852,1.97,-999999999,68.9,9714,9714,7690,30.8,26457,143700,703,59866
"Idaho Falls, ID Metro Area",102182,7.6,106823,,2609,4.4,58880,32.8,36.8,18745,67481,46800,33.3,15215,2.45,353,69.8,22717,22717,12422,5.5,27496,107800,805,148188
"Indiana, PA Micro Area",69683,10.9,71293,,4051,11.9,49448,20.8,45.6,14850,38721,14818,35.6,9782,2.25,1171,70.4,11131,11131,12185,26.9,25145,205400,679,83204
"Indianapolis-Carmel-Anderson, IN Metro Area",1543363,8.2,1599212,,80707,8.5,61022,31.7,32.8,231240,1072532,504068,33.4,276374,2.31,7884,64.7,358277,358277,148694,13.9,32723,122100,907,2021966
"Jonesboro, AR Metro Area",99653,8.8,103159,,7351,13.7,43927,34.1,39.9,20249,61960,32860,48.1,22375,2.4,1156,57.2,16643,16643,13317,25.1,24223,169200,725,131303
"Joplin, MO Metro Area",135341,9.3,140076,,6375,8.5,47012,23.5,38.3,25124,86420,43481,40,24766,2.41,2194,65.2,27108,27108,19271,25.1,26957,131700,753,177471
"Kahului-Wailuku-Lahaina, HI Metro Area",131257,11.2,134688,,7078,9.3,82917,43.9,34,17059,88105,36038,27,19098,2.87,-999999999,63.9,23222,23222,10531,1.5,35376,126100,1667,165062
"Ithaca, NY Metro Area",87326,8.4,89103,,6667,14,57276,53.5,38.5,18302,54812,15143,31.9,17774,1.95,442,55.8,13512,13512,8964,5.2,32370,629500,1153,101951
"Jackson, MI Metro Area",125021,10.7,129716,,10044,16.3,51031,46.9,44.2,21033,72181,33783,35.1,17231,2.31,1383,72.5,26271,26271,19096,21.6,26940,215800,805,151133
"Jackson, MS Metro Area",445395,8.8,462538,,15407,6.2,55700,19,37.6,75632,287746,136809,34,67755,2.59,5555,67.8,82562,82562,59849,18,27706,137300,873,568119
"Jackson, TN Metro Area",100124,10.3,103648,,5488,10.6,45610,38.3,41.4,19877,60564,29035,29.2,18858,2.31,646,62.7,16869,16869,14821,26.9,27135,151400,761,127252
"Jacksonville, FL Metro Area",1190748,9.8,1229647,,62529,9.3,60238,26.6,36.3,196457,769560,343436,33.3,210111,2.49,6483,63.5,242246,242246,123066,10.2,33478,124300,1082,1507734
"Jacksonville, NC Metro Area",149264,5.3,152605,,9108,14.5,50639,26.2,28,23550,73232,48358,45.7,31017,2.58,893,53.6,-999999999,-999999999,-999999999,11.3,23647,217200,995,160301
"Jamestown-Dunkirk-Fredonia, NY Micro Area",102369,11.2,105623,,10928,20.8,45479,56.4,42.4,18203,60845,25497,34,16269,1.99,1114,69.6,20182,20182,16978,41.5,25964,154900,646,125546
"Janesville-Beloit, WI Metro Area",125703,9.7,130594,,9403,12.6,57037,55.3,32.8,17506,87619,37409,35.9,22124,2.34,1025,65.8,27824,27824,14684,18,28654,86700,832,161937
"Jefferson, GA Micro Area",52526,8.5,55402,,2203,6.8,73150,47.1,34.8,7445,36141,17896,34.9,4242,2.63,-999999999,82.1,13147,13147,6251,10.3,28965,151400,770,69795
"Jefferson City, MO Metro Area",117646,9.8,121777,,3509,5.3,60281,11,38.6,15167,74678,32472,27.6,16491,2.12,637,71.1,23474,23474,17088,13.5,28572,203800,636,142263
"Johnson City, TN Metro Area",165531,11.2,169914,,8633,10.3,45839,28.4,44.2,35248,94870,38332,41.6,30053,2.17,3040,64.8,27472,27472,27905,15.6,27441,160900,702,200754
"Johnstown, PA Metro Area",106504,12.3,109575,,9395,17.5,45084,54,43.7,17300,61589,24925,37.5,14562,1.88,2357,74.2,18369,18369,23552,29.3,25124,158600,620,128466
"Aberdeen, WA Micro Area",58802,13.7,61308,,4609,19.4,48255,31.5,55,13811,27376,15076,37.3,8832,1.95,-999999999,68.1,10648,10648,8194,13,24965,94600,730,70718
"Abilene, TX Metro Area",132659,7.9,136605,,5244,7.7,48021,10.1,39.8,22252,78253,41229,49.5,23049,2.55,2050,62.5,17287,17287,21191,24.7,24853,193300,939,161797
"Adrian, MI Micro Area",77611,11.1,79720,,6659,16.4,55378,53.8,41.8,13610,46330,20506,33.3,9196,2.22,523,76,18050,18050,11142,22,27702,119500,783,95104
"Aguadilla-Isabela, PR Metro Area",240653,12.3,249121,,34284,43.3,17064,83.4,61.7,81457,95378,null,null,40810,2.53,21760,62.7,19524,19524,49197,44.6,10911,141800,422,null
"Akron, OH Metro Area",562115,10.4,580989,,40325,12.4,60019,41.1,34.2,79103,381800,142671,30.4,92008,2.13,4469,67.9,127273,127273,67763,20.3,33386,95000,807,697932
"Alamogordo, NM Micro Area",51322,9.7,53166,,6582,31.6,42591,72.9,49.5,12326,24507,15450,35.6,7966,2.51,-999999999,66.5,-999999999,-999999999,-999999999,21.7,21688,155500,866,61217
"Albany, GA Metro Area",115146,9.3,118813,,3968,6.8,44896,33.9,42,21582,68166,35967,41.3,26535,2.72,2438,52.9,17299,17299,12514,31.4,23139,113100,770,147360
"Albany, OR Metro Area",99395,11.5,102520,,8232,16.2,54113,35.1,41.9,19027,59557,27857,39.1,17603,2.5,-999999999,63.7,19353,19353,11508,3.4,26684,111900,998,126588
"Albany-Schenectady-Troy, NY Metro Area",710627,10.1,732924,,47139,11.5,71301,47.8,35.2,106453,472378,172026,30.3,129566,2.07,3427,63.4,143347,143347,80833,7.4,37087,254300,998,872629
"Albertville, AL Micro Area",72150,9.7,74664,,1891,5.1,47528,44.2,43.1,15452,42425,23952,39,10478,2.76,1282,70.9,14061,14061,11483,23.8,24988,217200,645,95233
"Albuquerque, NM Metro Area",714381,10.2,739062,,67983,17.6,51134,51.4,39.7,132119,441846,202031,38.2,127338,2.34,9742,64.5,143451,143451,87704,6.5,29118,136200,886,906777
"Alexandria, LA Metro Area",116258,9.5,120480,,9696,17.3,47391,57.4,45.1,25050,65480,36344,43.6,20332,2.74,2113,63.1,17201,17201,17594,20.9,24033,201400,803,147175
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",665753,10.1,687174,,38916,10.3,65929,36.3,36.3,98314,437141,176622,31.9,98674,2.4,3273,69.2,143095,143095,78732,7.1,33773,143300,1063,833543
"Altoona, PA Metro Area",98232,11.6,101683,,9413,17.7,49942,82.8,39.5,15183,61429,24248,31.3,14279,2.11,729,72.1,20032,20032,16785,24.2,27847,218900,722,121010
"Amarillo, TX Metro Area",199685,7.8,206657,,6342,5.3,53087,1.8,34.6,30501,135034,68271,32.1,35528,2.35,1578,63.9,36168,36168,26822,20.6,28354,128500,833,260409
"Ames, IA Metro Area",81784,6.7,83876,,3413,7.2,54586,18.4,34.2,16499,55114,16238,29.4,16706,2.13,353,55.2,11789,11789,8795,7.9,27266,148200,871,97517
"Anchorage, AK Metro Area",298949,7.7,310040,,26685,15.4,81037,45.2,32.7,51410,199595,99979,35.6,44722,2.53,2185,67.5,63069,63069,29692,3,36952,191300,1210,385832
"Ann Arbor, MI Metro Area",302028,8.5,310952,,14764,8.5,71860,35.5,35.7,54758,200008,68908,29.9,55839,2.22,1031,61,57220,57220,30013,5.8,41297,299500,1116,367336
"Anniston-Oxford-Jacksonville, AL Metro Area",89793,10.7,93284,,3572,7.8,45818,44.7,42.1,17475,53745,24331,41.3,13228,2.4,1301,70.1,17306,17306,13730,23.2,24493,280500,743,112854
"Appleton, WI Metro Area",181714,8.5,188041,,7370,6.3,65826,48.8,30.8,22506,130036,55797,31,24606,2.05,1046,74,45464,45464,24740,7.8,32810,121800,786,236083
"Arecibo, PR Metro Area",142263,11.4,146410,,20547,42.3,17347,72.5,60.3,47028,57980,null,null,19867,2.55,10092,69,14733,14733,29493,47.1,10792,181500,451,null
"Asheville, NC Metro Area",375085,12.9,384753,,12317,6.1,52410,10,39.4,56343,232701,84362,30.7,60974,2.17,5077,68.2,73215,73215,57700,8.4,32748,94800,871,453779
"Ashtabula, OH Micro Area",76070,11.1,78547,,4846,13.2,46349,19.9,43.3,14300,44575,21405,39.3,9046,2.23,1446,74.5,14274,14274,12125,30.4,23817,234700,682,94643
"Athens, OH Micro Area",56243,8,57409,,2402,8.9,36944,30.8,44.4,15383,31761,9532,38.4,9768,2.49,887,56.7,5823,5823,6942,28.3,19920,112700,769,65024
"Athens, TX Micro Area",64624,12.5,66409,,1935,7.6,42020,22.3,52.2,17667,31763,17675,40.3,7443,3.07,-999999999,75.9,8526,8526,14874,21.3,25342,118400,750,81261
"Athens-Clarke County, GA Metro Area",169002,7.9,174202,,5586,6,51503,19,38.9,34828,106229,42800,32.5,34836,2.3,1907,56.4,27332,27332,17777,10,27802,106300,840,210402
"Atlanta-Sandy Springs-Roswell, GA Metro Area",4500088,7.7,4676101,,144236,5.1,69464,18.5,32.9,722924,3134908,1449641,31,769417,2.58,22745,64,988411,988411,379452,7.1,35539,200500,1169,5904596
"Auburn, NY Micro Area",61881,10.7,63827,,3713,12,52376,47.3,44.2,11962,35566,15160,36.8,8969,2.31,766,70.2,11625,11625,9489,23.8,29116,233700,767,73546
"Atlantic City-Hammonton, NJ Metro Area",209007,10.3,216076,,14224,12,61212,52.5,35.1,30579,140106,56339,32,30122,2.5,676,68.9,44250,44250,22609,9,32590,137500,1063,262891
"Auburn-Opelika, AL Metro Area",129146,8.1,132509,,5451,7.9,46456,36.1,40.5,31683,78040,34786,45.2,22838,2.34,672,61.5,23019,23019,13479,11.3,27874,219300,805,162283
"Augusta-Richmond County, GA-SC Metro Area",466125,9.8,482200,,27222,11,52696,24.5,39.7,84519,283739,139617,34.9,69757,2.69,5131,67.4,86321,86321,58029,20.3,27531,182700,859,588902
"Augusta-Waterville, ME Micro Area",99082,12,102156,,6317,11.4,51653,23.7,37.7,15533,63633,22987,34.1,15414,1.83,786,71.6,23679,23679,15206,13.3,30540,154000,728,120551
"Austin-Round Rock, TX Metro Area",1669898,7,1725649,,50844,4.7,76925,9,29.3,259003,1217720,497619,30.9,329998,2.44,7126,58,309521,309521,146822,3,40087,156300,1307,2150961
"Bakersfield, CA Metro Area",637812,6.6,664871,,82556,25.2,51579,59.5,42.2,142455,382716,258576,37.1,116315,3.16,5539,57.4,108570,108570,48282,6.3,22778,304500,974,869297
"Baltimore-Columbia-Towson, MD Metro Area",2190753,9.1,2257415,,143169,11,80469,43.1,33.4,317078,1483337,611142,31.4,350747,2.3,11743,66.7,504818,504818,198661,3.9,40878,226400,1265,2753141
"Bangor, ME Metro Area",124352,10.7,127364,,8065,12.1,47217,43.5,40.6,23679,75526,26685,38.9,21094,1.91,1116,65.8,23543,23543,17128,16.7,27857,308500,739,149592
"Barnstable Town, MA Metro Area",180833,17.5,185817,,17294,19.4,68902,52.7,40.6,20584,110181,32493,23.9,15683,2.42,841,81.9,42318,42318,28670,0.5,40790,149500,1232,211567
"Baton Rouge, LA Metro Area",636579,8.8,658414,,43997,12.1,57843,47.3,37.4,111423,411428,194413,37.6,94150,2.5,7081,68.8,121769,121769,85590,11.7,31873,408000,915,815464
"Battle Creek, MI Metro Area",103785,10.1,106995,,7326,13,47204,44.8,39.2,17609,65009,30577,36.5,17093,2.19,442,68.3,20142,20142,16679,31.7,26276,193100,781,132862
"Bellingham, WA Metro Area",181566,10.7,186211,,13090,13.3,62268,56.6,39.5,33399,112529,44063,32.6,33650,2.39,1725,61.4,36000,36000,17430,1.1,31224,107700,1110,224331
"Bend-Redmond, OR Metro Area",152867,12.6,156933,,10390,12.2,67577,34.5,37.2,23152,98438,39052,28.6,27173,2.23,918,66,36402,36402,16375,1.6,38079,362500,1186,191236
"Billings, MT Metro Area",131687,10.2,136268,,9520,12.3,59623,37.3,34.6,18170,89002,39960,31.9,23172,2.06,1635,67.7,30413,30413,18202,2.7,32139,408500,883,169622
"Binghamton, NY Metro Area",193452,10.4,199092,,16491,16.4,53199,53.2,40.6,34418,118263,46576,34.6,32229,2.1,1597,66.3,34615,34615,28896,29.9,28564,231900,764,237121
"Birmingham-Hoover, AL Metro Area",891273,9.7,922349,,23136,4.9,56409,22,40.6,175866,547042,260280,37.6,133862,2.38,10096,69.3,179847,179847,122123,16.6,30902,120300,892,1137304
"Bismarck, ND Metro Area",102360,8.9,105333,,4334,6.5,70550,33.6,28.9,9578,74791,29854,32.9,17440,1.92,847,69.1,23638,23638,15304,6.1,37135,169400,827,129840
"Blacksburg-Christiansburg-Radford, VA Metro Area",152712,9.8,157195,,3034,4.3,50313,28.3,49,41838,80041,29214,34.7,24156,2.49,1793,64.7,22674,22674,21582,12.3,25199,258700,913,179944
"Bay City, MI Metro Area",82840,11.4,86290,,6176,14.1,50606,49.3,41.7,13937,50288,21066,27.6,11046,1.98,1034,75.2,17916,17916,15507,34.8,28577,183300,649,103049
"Beaumont-Port Arthur, TX Metro Area",310406,8.5,321236,,9748,6.3,50378,11.8,44.6,67818,177526,99663,42.8,49611,2.52,4240,65.8,39935,39935,55584,23.8,25928,105900,829,395098
"Beaver Dam, WI Micro Area",70466,9.8,72499,,3957,9.4,63077,39.6,33.1,7571,48480,17379,30.4,11084,2.12,475,68.5,15999,15999,8138,10.4,30722,123000,821,83979
"Beckley, WV Metro Area",93471,12.6,96654,,8241,20.9,38917,53.2,51.5,21755,46811,23770,51.9,12319,1.94,2751,74.7,17199,17199,19114,31.4,23560,173800,674,113922
"Bloomington, IL Metro Area",149538,7.8,154782,,7149,8,64822,35.7,35.7,28289,99434,41320,32.1,24916,2.15,670,66.1,31357,31357,17307,15.5,32678,98000,818,189578
"Bloomington, IN Metro Area",139995,8.1,143094,,6035,7.8,47335,25.3,38.1,29168,88488,27722,33.9,27930,2.11,1174,57.4,24338,24338,13303,12.9,27326,168100,882,166494
"Bloomsburg-Berwick, PA Metro Area",68591,11.1,70313,,3677,9.9,50984,55.9,40.4,11582,41892,14937,34.2,10160,1.94,795,70.5,13475,13475,10835,13,29967,172600,733,82305
"Bluefield, WV-VA Micro Area",79886,13.2,82159,,4584,13.5,39276,59.7,52.8,19476,38776,20007,48.8,12781,2.52,2473,70.1,12416,12416,17547,34.8,22088,166200,704,98185
"Boise City, ID Metro Area",550231,9,570659,,20883,6.4,61407,17.6,35.8,86199,365115,181831,33.8,77507,2.44,2542,71.1,131521,131521,59261,2.5,30140,90100,946,722537
"Boston-Cambridge-Newton, MA-NH Metro Area",3912534,9,4029372,,309985,12.9,88711,42.7,31.2,534735,2766972,961874,31,722050,2.23,24401,60.9,783497,783497,342251,1,47358,264400,1501,4828239
"Boulder, CO Metro Area",263938,8.8,271260,,14444,8.9,83755,29.9,31.8,41373,184954,62101,25.4,47943,2.24,968,62.6,54927,54927,25425,1.3,45923,464600,1498,323907
"Bowling Green, KY Metro Area",136580,9.3,141445,,10782,13.9,51365,62.8,36.2,26098,90047,40507,42.5,24664,2.39,1470,63.4,26505,26505,16255,15,25758,554100,778,175353
"Bozeman, MT Micro Area",89013,8.3,91778,,4653,7.6,68266,18.4,27.4,11194,66507,22848,24.3,17010,2.24,764,61.7,17064,17064,10349,3.5,34879,166600,1105,111354
"Brainerd, MN Micro Area",73891,13.5,76669,,7692,20.1,51177,39.4,41.2,10927,45055,20488,28.9,8769,1.98,642,78.3,18626,18626,13106,9.9,29256,412100,717,93346
"Branson, MO Micro Area",70184,15.5,72165,,2926,9.6,41913,14.7,47.5,13043,37915,17371,36.8,8728,2.24,-999999999,75.9,13860,13860,13613,22.2,23603,202600,710,86769
"Bremerton-Silverdale, WA Metro Area",214549,11.2,220424,,15862,14.4,76945,47.8,36.3,34552,126416,55221,32.7,31694,2.25,1478,69.9,50093,50093,23624,2.1,38588,142600,1305,254318
"Bridgeport-Stamford-Norwalk, CT Metro Area",731833,8.7,758754,,46560,10.7,91079,38.4,32.5,102583,512200,211965,26.3,118537,2.51,3863,65.7,156205,156205,70892,1.9,56135,363400,1439,936043
"Brownsville-Harlingen, TX Metro Area",295146,7.6,310656,,8280,5.3,38378,14.1,44.6,66505,171778,128673,39.1,41899,3.27,4087,66.4,33104,33104,49809,36.8,16788,435000,712,422224
"Brunswick, GA Metro Area",91708,12.6,93988,,2530,5.5,50499,24.9,42.5,16922,53958,25123,35.2,14931,2.33,1464,68.4,15282,15282,17053,18.8,31256,86500,925,115595
"Cape Girardeau, MO-IL Metro Area",73859,9.4,75410,,3548,8.5,48026,11,36.6,12582,47798,19699,36.2,11688,2.52,657,66,12577,12577,10103,16,22977,155600,774,92312
"Carbondale-Marion, IL Metro Area",99109,9.9,102092,,10209,20,42716,27.4,42.4,18605,58844,25308,41.9,22200,2.08,1358,56.6,13919,13919,15086,26.5,25211,152900,692,122035
"Carson City, NV Metro Area",44098,11.2,45486,,2340,9.9,56160,44.2,36.5,5500,28871,11316,37.8,9744,2.25,-999999999,57.8,-999999999,-999999999,-999999999,2.3,34086,114400,1004,53061
"Casper, WY Metro Area",60201,9.1,62587,,1683,4.5,64833,24.1,31.6,8117,42462,18832,40.5,9410,2.06,-999999999,70.8,-999999999,-999999999,-999999999,4.8,36004,316800,857,77768
"Cedar Rapids, IA Metro Area",209122,9.4,216129,,13708,10.6,62882,24.4,31.8,24527,147198,62943,30.2,26385,2,1094,75.8,55575,55575,27231,11,33668,211000,695,269041
"Centralia, WA Micro Area",62605,12.4,64562,,4747,16.3,61058,65.4,46.9,13278,34187,16835,42.2,8772,2.47,532,71.1,12883,12883,8672,4.4,28346,157400,907,78710
"Chambersburg-Waynesboro, PA Metro Area",120332,10.7,124906,,8094,11.8,61208,35.8,35.6,16643,80379,34173,34.3,16832,2.51,877,71.9,25093,25093,17909,6.2,30306,246400,833,153565
"Waco, TX Metro Area",204782,8.7,212277,,7524,6.8,47328,29.6,40.8,40270,125413,65470,41.7,40753,2.52,3927,58.2,28408,28408,28226,22.2,23849,180200,882,264478
"Walla Walla, WA Metro Area",51916,10.4,53626,,3866,15.3,59704,61,44.8,9496,29585,13678,36.5,9409,2.24,373,60.6,7800,7800,6684,7,26805,158400,890,62498
"Warner Robins, GA Metro Area",146268,7.6,152032,,10035,12.2,54024,17.1,37.3,27502,92344,47446,47.3,26258,2.56,1256,63.3,30477,30477,14776,22.5,31628,231900,853,188204
"Warsaw, IN Micro Area",60452,9.7,62008,,1769,4.6,55253,45.2,30,6673,43397,18867,24.9,8130,2.33,-999999999,73.6,12985,12985,9683,17.3,29026,140600,808,78496
"Wichita Falls, TX Metro Area",117558,8.7,121435,,4991,8.8,50309,32.7,39.4,19750,68547,33713,42.3,19483,2.39,1548,64.2,17668,17668,17278,33.6,25326,145500,750,137586
"Williamsport, PA Metro Area",90347,10.7,93463,,6347,13.4,55045,54.4,41.6,14205,54575,23269,34.4,13722,2.38,678,69.2,17497,17497,13366,17.2,27306,101500,776,110479
"Wilmington, NC Metro Area",238670,10.8,244872,,10530,8,52756,21.6,39.7,43430,146562,55744,29.5,47436,2.15,1855,60.8,48260,48260,25190,5.6,31517,161200,1056,290384
"Wilson, NC Micro Area",62772,10.9,64386,,3217,9.5,42769,27.5,37.3,10252,40337,18643,34.9,12677,2.71,1066,60.2,10805,10805,8335,28.2,24629,239600,736,80495
"Watertown-Fort Atkinson, WI Micro Area",67075,10.4,70074,,2599,6.2,65651,43.4,29.7,6935,49177,18044,26.7,8854,2.15,-999999999,73.3,15634,15634,8692,3.2,33545,121800,881,84574
"Watertown-Fort Drum, NY Metro Area",84956,8.1,87104,,8121,20,53146,56.8,36.9,14410,45206,26768,34.8,20244,2.2,1052,54.7,14435,14435,9978,22.1,26769,198600,958,99885
"Wausau, WI Metro Area",104581,9.9,108677,,4318,6.7,62890,21.5,32.9,12441,72924,30821,29.2,15745,2.01,943,72,23968,23968,16532,13.4,34986,145600,756,134394
"Weirton-Steubenville, WV-OH Metro Area",97613,13.1,99614,,7747,16.7,43747,68.4,46.6,18986,53099,22568,36.1,14531,2.14,1892,71.9,17987,17987,19162,39,27359,164800,628,118948
"Wenatchee, WA Metro Area",90827,10.5,93724,,8130,15.1,61714,62.2,34.9,12314,60984,29085,42.4,16817,2.37,-999999999,64.9,18493,18493,12545,2.5,33831,89800,932,119191
"Wheeling, WV-OH Metro Area",113031,12.6,116836,,7270,13.3,49749,52.2,45.7,20888,63452,26816,36.6,13270,2.3,2064,74.7,16733,16733,22432,33.8,26199,304800,640,135322
"Whitewater-Elkhorn, WI Micro Area",82476,10.4,84938,,5849,11.6,63800,42.2,32.9,11661,56941,21234,26.5,13585,2.52,246,66.8,16441,16441,10838,5.1,32933,109400,887,103041
"Wichita, KS Metro Area",481199,8.7,498466,,18663,6.5,56909,23.9,34.3,71137,325303,163435,36.5,83628,2.3,3306,66.4,101343,101343,63828,23.4,29180,205000,785,635502
"Winchester, VA-WV Metro Area",109510,10.6,114065,,5047,8.1,65170,35.7,37,16629,71523,32117,36.2,16538,2.35,1508,69.2,23556,23556,13621,4.9,32934,144500,1013,139967
"Winston-Salem, NC Metro Area",523137,10.2,541219,,17539,6.2,48699,28.8,40.2,98391,322503,148062,33.9,96578,2.31,5896,64.3,106621,106621,67573,16.7,28572,243400,754,665211
"Wisconsin Rapids-Marshfield, WI Micro Area",57389,11.2,59152,,3744,11.5,55273,73,37.7,8111,36840,15657,33.7,9560,2.16,314,70.4,11643,11643,11071,26.8,31272,157900,743,72536
"Wooster, OH Micro Area",87875,9.8,91122,,4889,9.7,59111,17,37,13886,57450,27985,32.2,11847,2.24,788,73,17674,17674,14387,11.8,27481,129400,723,114884
"Worcester, MA-CT Metro Area",750705,9.2,775749,,67941,15.3,70869,42.6,34.1,115997,510306,196468,30.2,119144,2.23,4928,66.3,163791,163791,70467,1.7,36369,155800,1053,934908
"Yakima, WA Metro Area",176996,8.1,184095,,16847,17.1,51555,49.5,39.3,34125,111600,74403,34.9,30382,2.89,1982,63.5,31478,31478,21460,8.7,22091,281000,797,248778
"York-Hanover, PA Metro Area",349333,10.1,361664,,17788,8.7,65239,28.5,35.1,51302,234528,98854,32.8,43236,2.38,1424,75.1,84636,84636,46086,8.5,33004,186500,930,443256
"Youngstown-Warren-Boardman, OH-PA Metro Area",430884,12,445710,,36293,16.8,47476,57.9,42.1,71060,257768,107203,33,68788,2.17,4459,69.8,84776,84776,73913,27.2,27587,183000,660,527008
"Yuba City, CA Metro Area",128604,7.7,133540,,13455,20.9,54745,44.4,40.7,28135,76860,46227,37.3,23342,2.73,809,59.9,22395,22395,12443,2.2,25576,114700,942,171343
